City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Bentiu,SS,2021-09-22 20:17:35,9.2333,29.8333,75.38,84,24,3.0
113,Guerrero Negro,MX,2021-09-22 20:17:35,27.9769,-114.0611,85.3,52,89,6.87
114,San Jose,US,2021-09-22 20:13:08,37.3394,-121.895,94.51,44,40,8.05
115,Tiksi,RU,2021-09-22 20:17:35,71.6872,128.8694,34.86,86,97,3.51
116,Hithadhoo,MV,2021-09-22 20:17:36,-0.6,73.0833,82.09,74,100,18.03
117,Kirakira,SB,2021-09-22 20:17:36,-10.4544,161.9205,78.46,83,55,5.86
118,Ponnani,IN,2021-09-22 20:17:36,10.767,75.9252,79.92,87,100,10.6
119,Deputatskiy,RU,2021-09-22 20:17:36,69.3,139.9,25.2,84,16,2.8
120,Pantai Remis,MY,2021-09-22 20:17:37,4.4557,100.6288,73.76,88,88,3.09
121,Mar Del Plata,AR,2021-09-22 20:17:37,-38.0023,-57.5575,59.02,67,90,3.44
122,Clarksburg,US,2021-09-22 20:13:38,39.2807,-80.3445,84.88,69,75,19.57
123,Palmas De Monte Alto,BR,2021-09-22 20:17:38,-14.2672,-43.1619,100.67,14,9,3.83
124,Bethel,US,2021-09-22 20:17:38,41.3712,-73.414,79.72,76,98,1.99
125,Conway,US,2021-09-22 20:15:27,35.0887,-92.4421,79.75,38,1,1.01
126,Sehithwa,BW,2021-09-22 20:17:38,-20.4667,22.7167,76.1,32,35,13.67
127,Isangel,VU,2021-09-22 20:17:38,-19.55,169.2667,76.53,81,100,5.53
128,Kavieng,PG,2021-09-22 20:17:39,-2.5744,150.7967,80.22,82,100,13.76
129,Altamira,BR,2021-09-22 20:15:05,-3.2033,-52.2064,92.91,39,100,4.5
130,Barranca,PE,2021-09-22 20:17:39,-10.75,-77.7667,63.72,79,97,11.1
131,San Quintin,MX,2021-09-22 20:17:39,30.4833,-115.95,82.24,54,1,9.73
132,Yerbogachen,RU,2021-09-22 20:17:40,61.2767,108.0108,32.32,85,31,3.91
133,Sao Felix Do Xingu,BR,2021-09-22 20:13:46,-6.6447,-51.995,103.35,15,100,2.57
134,Hasaki,JP,2021-09-22 20:17:40,35.7333,140.8333,77.4,83,100,15.88
135,Ribeira Grande,PT,2021-09-22 20:17:40,38.5167,-28.7,72.0,83,20,16.11
136,Syamzha,RU,2021-09-22 20:17:41,60.0158,41.0614,43.54,86,100,8.32
137,Touros,BR,2021-09-22 20:17:41,-5.1989,-35.4608,83.3,75,51,9.84
138,Pirajui,BR,2021-09-22 20:17:41,-21.9986,-49.4572,76.51,28,79,14.7
139,Oranjemund,NA,2021-09-22 20:17:41,-28.55,16.4333,65.93,49,22,5.97
140,Maceio,BR,2021-09-22 20:17:42,-9.6658,-35.7353,85.44,79,0,12.66
141,Cidreira,BR,2021-09-22 20:17:42,-30.1811,-50.2056,63.43,68,16,15.19
142,Belmonte,BR,2021-09-22 20:17:42,-15.8631,-38.8828,72.1,80,96,18.03
143,Salalah,OM,2021-09-22 20:17:43,17.0151,54.0924,82.49,83,40,6.91
144,Canutama,BR,2021-09-22 20:17:43,-6.5339,-64.3831,98.38,31,91,1.77
145,Talnakh,RU,2021-09-22 20:17:43,69.4865,88.3972,33.98,77,97,9.24
146,Hamilton,US,2021-09-22 20:15:50,39.1834,-84.5333,59.47,95,90,3.0
147,Pevek,RU,2021-09-22 20:17:44,69.7008,170.3133,27.93,64,100,7.87
148,Santo Tomas,PH,2021-09-22 20:17:44,14.1079,121.1414,80.85,92,100,3.27
149,Angoche,MZ,2021-09-22 20:17:44,-16.2325,39.9086,74.32,73,0,9.55
150,Dunedin,NZ,2021-09-22 20:17:45,-45.8742,170.5036,47.91,70,0,3.6
151,Lakatoro,VU,2021-09-22 20:17:45,-16.0999,167.4164,76.91,86,100,5.46
152,Odweyne,SO,2021-09-22 20:17:45,9.4092,45.064,81.86,42,67,3.58
153,Ponta Do Sol,PT,2021-09-22 20:17:46,32.6667,-17.1,72.23,66,100,5.23
154,Mweka,CD,2021-09-22 20:17:46,-4.85,21.5667,72.14,77,19,1.52
155,Middelkerke,BE,2021-09-22 20:17:46,51.1558,2.8418,59.47,88,23,1.14
156,Beyneu,KZ,2021-09-22 20:17:47,45.3167,55.2,63.07,40,98,19.13
157,Ilulissat,GL,2021-09-22 20:17:47,69.2167,-51.1,28.42,46,75,5.75
158,Husavik,IS,2021-09-22 20:17:47,66.0449,-17.3389,39.11,93,100,8.66
159,Adiake,CI,2021-09-22 20:17:47,5.2863,-3.304,78.39,91,100,3.76
160,Sarangani,PH,2021-09-22 20:17:48,5.4033,125.4636,81.34,76,65,8.86
161,Castro,BR,2021-09-22 20:17:48,-24.7911,-50.0119,63.3,57,24,11.25
162,Cukai,MY,2021-09-22 20:17:48,4.25,103.4167,77.14,91,100,2.68
163,Souillac,MU,2021-09-22 20:17:49,-20.5167,57.5167,71.37,78,40,11.5
164,Mandera,KE,2021-09-22 20:17:49,3.9366,41.867,84.97,48,100,23.67
165,Amga,RU,2021-09-22 20:17:49,60.8953,131.9608,33.85,82,15,3.47
166,Louis Trichardt,ZA,2021-09-22 20:17:50,-23.0439,29.9032,57.09,55,0,6.85
167,Ketchikan,US,2021-09-22 20:17:50,55.3422,-131.6461,51.98,67,99,6.26
168,Berasia,IN,2021-09-22 20:17:50,23.6333,77.4333,74.59,91,29,3.56
169,Bodinayakkanur,IN,2021-09-22 20:17:51,10.0167,77.35,75.2,86,96,3.65
170,Rzhaksa,RU,2021-09-22 20:17:51,52.1338,42.0264,48.38,84,100,5.23
171,Garowe,SO,2021-09-22 20:17:51,8.4054,48.4845,78.76,57,0,23.98
172,Balakhta,RU,2021-09-22 20:17:52,55.38,91.6,36.86,95,100,0.78
173,Tecoanapa,MX,2021-09-22 20:17:52,16.5167,-98.75,85.82,67,5,9.62
174,Pisco,PE,2021-09-22 20:17:52,-13.7,-76.2167,69.85,60,0,12.66
175,Saldanha,ZA,2021-09-22 20:17:53,-33.0117,17.9442,60.85,53,4,4.27
176,Moussoro,TD,2021-09-22 20:17:53,13.6408,16.4901,83.93,47,100,8.99
177,Butembo,CD,2021-09-22 20:17:53,0.15,29.2833,57.29,97,84,2.51
